EURONEXT/ALMIL,1000mercis (ALMIL)
EURONEXT/A2AM,A2a (A2AM)
EURONEXT/1NOMY,1nomij (1NOMY)
EURONEXT/ABFL,A B Foods (ABFL)
EURONEXT/MLATV,A Toute Vitesse (MLATV)
EURONEXT/888L,888 Holdings (888L)
EURONEXT/ACAN,Acanthe Dev (ACAN)
EURONEXT/AALB,Aalberts Industr (AALB)
EURONEXT/ACEM,Acea (ACEM)
EURONEXT/IIIL,3i Group (IIIL)
EURONEXT/ATI,Actia Group (ATI)
EURONEXT/ADP,Adp (ADP)
EURONEXT/ACCB,Accentis (ACCB)
EURONEXT/ALADO,Adomos (ALADO)
EURONEXT/ACCEL,Accell Group (ACCEL)
EURONEXT/ALP,Adl Partner (ALP)
EURONEXT/ADML,Admiral Group (ADML)
EURONEXT/ADOC,Adocia (ADOC)
EURONEXT/AB,Ab Science (AB)
EURONEXT/ABCA,Abc Arbitrage (ABCA)
EURONEXT/ATLNZ,Actelion N (ATLNZ)
EURONEXT/ABBNZ,Abb N (ABBNZ)
EURONEXT/ALADM,Adthink Media (ALADM)
EURONEXT/ACKB,Ackermans V Haaren (ACKB)
EURONEXT/ALDV,Adc Siic (ALDV)
EURONEXT/ADSD,Adidas (ADSD)
EURONEXT/EIL1I,Aer Lingus (EIL1I)
EURONEXT/IML,Affine R E (IML)
EURONEXT/AFRL,Afren (AFRL)
EURONEXT/AGFB,Agfa-gevaert (AGFB)
EURONEXT/ALAGR,Agrogeneration (ALAGR)
EURONEXT/AGTA,Agta Record (AGTA)
EURONEXT/AIR,Airbus (AIR)
EURONEXT/CUR,Aguas Da Curia (CUR)
EURONEXT/MLAGR,Agrivolt (MLAGR)
EURONEXT/AJAX,Ajax (AJAX)
EURONEXT/ABIO,Albioma (ABIO)
EURONEXT/ALU,Alcatel-lucent (ALU)
EURONEXT/ALVD,Allianz (ALVD)
EURONEXT/AIBI,Allied Irish Banks (AIBI)
EURONEXT/LTA,Altamir (LTA)
EURONEXT/ALT,Altran Techn (ALT)
EURONEXT/ALPHY,Ales Groupe (ALPHY)
EURONEXT/AND,And International (AND)
EURONEXT/ANF,Anf Immobilier (ANF)
EURONEXT/AMPM,Amplifon (AMPM)
EURONEXT/AALL,Anglo American (AALL)
EURONEXT/ANTOL,Antofagasta (ANTOL)
EURONEXT/ARCAD,Arcadis (ARCAD)
EURONEXT/AKENV,Arkema Nv18 (AKENV)
